,1,ADMINISTRACIÓN Y MANEJO DE PERSONAL,A,VIERNES/18-21/F5,Unnamed: 4,Unnamed: 5,ALDELMO EMMANUEL ISRAEL REYES PABLO
34,36.0,ELECTROMAGNETISMO,A,MIÉRCOLES/8-10/F6,VIERNES/8-10/F6,,JOSÉ SOCORRO GARCÍA DÍAZ
35,37.0,ELECTROMAGNETISMO,B,LUNES/8-10/C2,MIÉRCOLES/8-10/F8,,GERARDO GUTIÉRREZ JUÁREZ
36,38.0,ESTRUCTURA DE LA MATERIA,A,MARTES/12-13/F1,VIERNES/10-12/F1,,MARÍA DE LOS ÁNGELES MENDOZA
37,39.0,FENOMENOLOGÍA DE LAS PARTÍCULAS ELEMENTALES,A,PENDIENTE,,,MAURO NAPSUCIALE MENDIVIL
38,40.0,FENÓMENOS DE TRANSPORTE,A,LUNES/17-19/F9,VIERNES/12-14/F5,,JUAN FRANCISCO RAYAS ROJAS
39,41.0,FÍSICA CUÁNTICA,A-I,LUNES/12-14/F6,MIÉRCOLES/12-14/F6,VIERNES/8-10/LAB. DE FÍSICA,MARCO ANTONIO REYES SANTOS/SERGIO AUGUSTO ROMERO SERVÍN
40,42.0,FÍSICA CUÁNTICA,A-III,LUNES/12-14/F6,MIÉRCOLES/12-14/F6,MIÉRCOLES/14-16/LAB. DE FÍSICA,MARCO ANTONIO REYES SANTOS/JOSÉ ALFREDO SOTO ÁLVAREZ
41,43.0,FÍSICA CUÁNTICA,A-IV,LUNES/12-14/F6,MIÉRCOLES/12-14/F6,LUNES/10-12/LAB. DE FÍSICA,MARCO ANTONIO REYES SANTOS/JOSÉ MIGUEL RAMOS MORENO
42,44.0,FÍSICA CUÁNTICA,B-I,JUEVES/12-14/F1,VIERNES/10-12/F6,VIERNES/8-10/LAB. DE FÍSICA,JULIÁN FÉLIX VALDEZ/SERGIO AUGUSTO ROMERO SERVÍN
43,45.0,FÍSICA CUÁNTICA,B-II,JUEVES/12-14/F1,VIERNES/10-12/F6,MIÉRCOLES/10-12/LAB. DE FÍSICA,JULIÁN FÉLIX VALDEZ
44,46.0,FÍSICA CUÁNTICA,B-III,JUEVES/12-14/F1,VIERNES/10-12/F6,MIÉRCOLES/14-16/LAB. DE FÍSICA,JULIÁN FÉLIX VALDEZ/JOSÉ ALFREDO SOTO ÁLVAREZ
45,47.0,FÍSICA DE RADIACIONES,A,PENDIENTE HORARIO,,,PABLO VÍCTOR CERÓN RAMÍREZ
46,48.0,FÍSICA GENERAL,A-I,LUNES/10-12/F2,MIÉRCOLES/10-12/F2,"VIERNES/10-12/LAB, DE FÍSICA",MODESTO ANTONIO SOSA AQUINO/PABLO VÍCTOR CERÓN RAMÍREZ
47,49.0,FÍSICA GENERAL,A-III,LUNES/10-12/F2,MIÉRCOLES/10-12/F2,JUEVES/12-14/LAB. DE FÍSICA,MODESTO ANTONIO SOSA AQUINO/PABLO VÍCTOR CERÓN RAMÍREZ
48,50.0,FÍSICA GENERAL,B-II,MARTES/10-12/F1,MIÉRCOLES/10-12/C2,JUEVES/10-12/LAB. DE FÍSICA,OCTAVIO JOSÉ OBREGÓN DÍAZ/MARIBEL JUÁREZ HERNÁNDEZ
49,51.0,FÍSICA GENERAL,B-IV,MARTES/10-12/F1,MIÉRCOLES/10-12/C2,MARTES/12-14/LAB. DE FÍSICA,OCTAVIO JOSÉ OBREGÓN DÍAZ/MA. ISABEL DELGADILLO CANO
50,52.0,FÍSICA GENERAL,C-V,LUNES/10-12/F5,MIÉRCOLES/10-12/F5,LUNES/14-16/LAB. DE FÍSICA,FRANCISCO ALARCÓN OSEGUERA/JOSÉ ALFREDO SOTO ÁLVAREZ
51,53.0,FÍSICA GENERAL,C-VII,LUNES/10-12/F5,LUNES/14-16/LAB. DE FÍSICA,VIERNES/14-16/LAB. DE FÍSICA,FRANCISCO ALARCÓN OSEGUERA/JOSÉ ALFREDO SOTO ÁLVAREZ
52,54.0,FÍSICA GENERAL,D-VI,LUNES/12-14/F5,JUEVES/12-14/F5,JUEVES/14-16/LAB. DE FÍSICA,ANA LAURA BENAVIDES OBREGÓN/JOSÉ MIGUEL RAMOS MORENO
53,55.0,FÍSICA GENERAL,D-VIII,LUNES/12-14/F5,JUEVES/12-14/F5,VIERNES/12-14/LAB. DE FÍSICA,ANA LAURA BENAVIDES OBREGÓN/ERICK SARMIENTO GÓMEZ
54,56.0,FÍSICA GENERAL,E-IX,LUNES/12-14/F7,MIÉRCOLES/12-14/F7,LUNES/17-19/LAB. DE FÍSICA,MODESTO ANTONIO SOSA AQUINO/ERICK SARMIENTO GÓMEZ
55,57.0,"FLUIDOS, ONDAS Y TEMPERATURA",A-II,MARTES/10-12/C2,VIERNES/10-12/F2,LUNES/8-10/LAB. DE FÍSICA,ALEJANDRO GIL VILLEGAS MONTIEL/SERGIO AUGUSTO ROMERO SERVÍN
56,58.0,"FLUIDOS, ONDAS Y TEMPERATURA",A-IV,MARTES/10-12/C2,VIERNES/10-12/F2,MARTES/14-16/LAB. DE FÍSICA,ALEJANDRO GIL VILLEGAS MONTIEL/SERGIO AUGUSTO ROMERO SERVÍN
57,59.0,"FLUIDOS, ONDAS Y TEMPERATURA",A-V,MARTES/10-12/C2,VIERNES/10-12/F2,JUEVES/16-18/LAB. DE FÍSICA,ALEJANDRO GIL VILLEGAS MONTIEL/SERGIO AUGUSTO ROMERO SERVÍN
58,60.0,"FLUIDOS, ONDAS Y TEMPERATURA",B-III,LUNES/12-14/ F8,MIÉRCOLES/12-14/F8,MARTES/10-12/LAB. DE FÍSICA,MA. ISABEL DELGADILLO CANO/JOSÉ SOCORRO GARCÍA DÍAZ
59,61.0,"FLUIDOS, ONDAS Y TEMPERATURA",B-IV,LUNES/12-14/ F8,MIÉRCOLES/12-14/F8,MARTES/14-16/LAB. DE FÍSICA,MA. ISABEL DELGADILLO CANO/SERGIO AUGUSTO ROMERO SERVÍN
60,62.0,"FLUIDOS, ONDAS Y TEMPERATURA",C-I,MIÉRCOLES/10-12/F9,JUEVES/10-12/F9,JUEVES/8-10/LAB. DE FÍSICA,ÓSCAR MIGUEL SABIDO MORENO/SERGIO AUGUSTO ROMERO SERVÍN
61,63.0,"FLUIDOS, ONDAS Y TEMPERATURA",C-VI,MIÉRCOLES/10-12/F9,JUEVES/10-12/F9,LUNES/12-14/LAB. DE FÍSICA,ÓSCAR MIGUEL SABIDO MORENO/JOSÉ MIGUEL RAMOS MORENO
62,64.0,FUNDAMENTOS DE PROCESAMIENTO DIGITAL DE IMÁGENES,A,LUNES/10-12/CENTRO DE CÓMPUTO,MARTES/10-12/F7,,ARTURO GONZÁLEZ VEGA
63,,FUNDAMENTOS DE PROCESAMIENTO DIGITAL DE SEÑALES,A,LUNES/17-19/C2,MARTES/13-14/F5,MIÉRCOLES/10-11/C3,EMMANUEL RIVERA PÉREZ
64,65.0,FUNDAMENTOS FILOSÓFICO-EPISTEMOLÓGICOS,A,MARTES/15-18/F2,,,MA. DEL CARMEN VARELA CHÁVEZ
65,66.0,GESTIÓN DE TECNOLOGÍAS DE LA SALUD,A,MARTES/16-18/F8,JUEVES/16-18/F8,,GERARDO ROEDRÍGUEZ TEPOZTECA
66,67.0,HERRAMIENTAS INFORMÁTICAS Y GESTIÓN DE LA INFORMACIÓN,A,VIERNES/12-15/CENTRO DE CÓMPUTO,,,DELIA IRAZÚ HERNÁNDEZ FARÍAS
67,68.0,INGENIERÍA CLÍNICA,A,MIÉRCOLES/17-20/F9,VIERNES/17-20/F9,,JOSÉ GONZÁLEZ CRUZ
68,69.0,INGENIERÍA DE CALOR,A,MARTES/10-12/F2,VIERNES/10-12/F8,,JULIO CÉSAR ARMAS PÉREZ
69,70.0,INGENIERÍA DE CONTROL DE PROCESOS,A,LUNES/12-14/ CENTRO DE CÓMPUTO,JUEVES/10-12/CENTRO DE CÓMPUTO,,EDWIN GERARDO REYES GUZMÁN
70,71.0,INGENIERÍA DE FLUIDOS,A,MARTES/8-10/F8,JUEVES/8-10/C2,,JULIO CÉSAR ARMAS PÉREZ
71,72.0,INGENIERÍA DE PROYECTOS,A,MARTES/12-15/C3,PENDIENTE,,ÉDGAR VÁZQUEZ NÚÑEZ
72,73.0,INGENIERÍA EN REHABILITACIÓN,A,PENDIENTE,PENDIENTE,,ARTURO VEGA GONZÁLEZ
73,74.0,INSTRUMENTACIÓN MÉDICA,A,PENDIENTE,PENDIENTE,,TEODORO CÓRDOVA FRAGA
74,74.0,INSTRUMENTACIÓN Y ANÁLISIS DE SEÑALES,A,MIÉRCOLES/8-10/LAB. DE ELECTRÓNICA,VIERNES/8-10/LAB. DE ELECTRÓNICA,,JESÚS SALVADOR VELÁZQUEZ GONZÁLEZ
75,75.0,INTRODUCCIÓN A LA METODOLOGÍA DE LA INVESTIGACIÓN,A,VIERNES/12-15/F2,,,MA. DEL CARMEN VARELA CHÁVEZ
76,76.0,INTRODUCCIÓN A LA TEORÍA DE CUERDAS,A,PENDIENTE,,,ÓSCAR GERARDO LOAIZA BRITO/NANA GERALDINE CABO BIZET/DAMIÁN KALONI MAYORGA PEÑA
77,77.0,INVESTIGACIÓN DE OPERACIONES,A,MARTES/17-19/F7,MIÉRCOLES/17-19/F7,,GUSTAVO MORENO GONZÁLEZ TERÁN
78,78.0,LABORATORIO DE REACTORES,A,LUNES/8-11/LABORATORIO IQ(C1),,,IRAIS AMARANTA QUINTERO ORTEGA
79,79.0,LABORATORIO DE SIMULACIÓN DE PROCESOS,A,LUNES/14-15/CENTRO DE CÓMPUTO,VIERNES/15-17/CENTRO DE CÓMPUTO,,CARLOS EDUARDO MOLINA GUERRERO
80,80.0,MATEMÁTICAS SUPERIORES,A,LUNES/8-10/F1,MIÉRCOLES/8-10/F1,VIERNES/8-10/F1,JOSÉ LUIS LÓPEZ PICÓN
81,81.0,MATEMÁTICAS SUPERIORES,B,MARTES/8-10/F1,JUEVES/8-10/F1,VIERNES/8-10/F2,MA. ISABEL DELGADILLO CANO
82,82.0,MATEMÁTICAS SUPERIORES,C,LUNES/10-12/F1,MIÉRCOLES/10-12/F1,JUEVES/10-12/F1,JOSÉ SOCORRO GARCÍA DÍAZ
83,83.0,MATEMÁTICAS SUPERIORES,D,LUNES/12-14/F2,MARTES/12-14/F2,JUEVES/12-14/F2,JUAN BARRANCO MONARCA
84,84.0,MATEMÁTICAS SUPERIORES,E,MARTES/12-14/F9,JUEVES/12-14/F8,VIERNES/12-14/F6,JOSÉ TORRES ARENAS
85,85.0,MATEMÁTICAS SUPERIORES,F,MARTES/15-17/F5,JUEVES/15-17/F5,VIERNES/15-17/F5,CARSTEN HOLTFORT
86,86.0,MECÁNICA ANALÍTICA,A,MARTES/10-12/F6,JUEVES/10-12/F6,,MARCO ANTONIO REYES SANTOS
87,87.0,MECÁNICA ANALÍTICA,B,MIÉRCOLES/10-12/C2,VIERNES/10-12/C2,,ARGELIA BERNAL BAUTISTA
88,88.0,MECÁNICA ANALÍTICA,C,MARTES/11-13/F5,VIERNES/12-14/F9,,CARLOS HERMAN WIECHERS MEDINA
89,89.0,MECÁNICA CUÁNTICA,A,LUNES/14-15/F5,JUEVES/13-15/F6,JUEVES/15-16/F9,EDILIO LÁZARO LÁZARO
90,90.0,MEDICIÓN E INSTRUMENTACIÓN,A,MARTES/8-12/LAB. DE ELECTRÓNICA,JUEVES/10-12/F8,,JESÚS SALVADOR VELÁZQUEZ GONZÁLEZ
91,91.0,MEDICIÓN E INSTRUMENTACIÓN,B,LUNES/12-16/LAB. DE ELECTRÓNICA,MARTES/8-10/F6,,CARLOS VILLASEÑOR MORA
92,92.0,MÉTODOS DE PREPARACIÓN DE NANOMATERIALES,A,PENDIENTE,,,CHRISTIAN GÓMEZ SOLÍS
93,93.0,MÉTODOS NUMÉRICOS,A,MARTES/12-14/F8,JUEVES/12-14/CENTRO DE CÓMPUTO,VIERNES/8-10/F8,FRANCISCO ALARCÓN OSEGUERA
94,94.0,MÉTODOS NUMÉRICOS,B,MARTES/8-10/F5,JUEVES/8-10/F5,VIERNES/8-10/CENTRO DE CÓMPUTO,JESÚS PABLO LAUTERIO CRUZ
95,95.0,MÉTODOS NUMÉRICOS,C,LUNES/10-12/F9,MARTES/12-14/CENTRO DE CÓMPUTO,VIERNES/12-14/F8,JULIO CÉSAR ARMAS PÉREZ
96,96.0,MÉTODOS NUMÉRICOS,D,LUNES/17-20/F7 Y LA ÚLTIMA HORA CENTRO DE CÓMPUTO,JUEVES/17-20/F7 Y LA ÚLTIMA HORA CENTRO DE CÓMPUTO,,ALEJANDRO MARTÍNEZ BORQUEZ
97,97.0,METROLOGÍA,A,LUNES/15-17/F8,MIÉRCOLES/15-17/F8,,GUSTAVO MORENO GONZÁLEZ TERÁN
98,98.0,MODELADO DE SISTEMAS BIOLÓGICOS,A,MARTES/17-19/C3,JUEVES/17-19/C2,,JOSÉ DE JESÚS BERNAL ALVARADO
99,99.0,ÓPTICA,A-I,LUNES/8-10/F9,MIÉRCOLES/8-10/F9,MARTES/16-18/LAB. DE FÍSICA,MIGUEL ÁNGEL VALLEJO HERNÁNDEZ/MARIBEL JUÁREZ HERNÁNDEZ
100,100.0,ÓPTICA,A-II,LUNES/8-10/F9,MIÉRCOLES/8-10/F9,MIÉRCOLES/16-18/LAB. DE FÍSICA,MIGUEL ÁNGEL VALLEJO HERNÁNDEZ/CARLOS HERMAN WIECHERS MEDINA
101,101.0,ÓPTICA,B-I,MARTES/10-12/F8,JUEVES/10-12/C2,MARTES/16-18/LAB. DE FÍSICA,RIGOBERTO CASTRO BELTRÁN/MARIBEL JUÁREZ HERNÁNDEZ
102,102.0,ÓPTICA,B-III,MARTES/10-12/F8,JUEVES/10-12/C2,VIERNES/16-18/LAB. DE FÍSICA,RIGOBERTO CASTRO BELTRÁN/CARLOS HERMAN WIECHERS MEDINA
103,103.0,ÓPTICA CUÁNTICA,A,MIÉRCOLES/17-20/C2,JUEV/16-17/C2,,LAURA ELENA CASANDRA ROSALES ZÁRATE
104,104.0,OPTIMIZACIÓN Y SIMULACIÓN DE PROCESOS,A,MARTES/15-17/ C3,JUEVES/15-17/ F1,,JOSÉ DE JESÚS IBARRA SÁNCHEZ
105,105.0,PRINCIPIOS DE OPERACIÓN DE EQUIPOS MÉDICOS,A,MARTES/18-21/F8,JUEVES/18-21/F8,,SERGIO FLORES GONZÁLEZ
106,106.0,PROBLEMAS SOCIALES Y DEBATES CONTEMPORÁNEOS,A,LUNES/17-20/F5,,,FERNANDO AGUAS ÁNGEL
107,107.0,PROGRAMACIÓN BÁSICA,A,MARTES/8-10/CENTRO DE CÓMPUTO,JUEVES/8-10/CENTRO DE CÓMPUTO,,ARTURO GONZÁLEZ VEGA
108,108.0,PROGRAMACIÓN BÁSICA,B,MARTES/15-17/CENTRO DE CÓMPUTO,JUEVES/15-17/CENTRO DE CÓMPUTO,,LUIS CARLOS PADIERNA GARCÍA
109,109.0,PROGRAMACIÓN BÁSICA,C,LUNES/8-10/CENTRO DE CÓMPUTO,MIÉRCOLES/8-10/CENTRO DE CÓMPUTO,,DELIA IRAZÚ HERNÁNDEZ FARÍAS
110,110.0,PROGRAMACIÓN BÁSICA,D,MARTES/10-12/CENTRO DE CÓMPUTO,MIÉRCOLES/12-14/CENTRO DE CÓMPUTO,,ARTURO VEGA GONZÁLEZ
111,111.0,PROGRAMACIÓN BÁSICA,E,LUNES/15-17/CENTRO DE CÓMPUTO,MIÉRCOLES/15-17/CENTRO DE CÓMPUTO,,JOSUÉ ADÍN MINGUELA GALLARDO
112,112.0,PROGRAMACIÓN BÁSICA,F,MARTES/17-19/CENTRO DE CÓMPUTO,JUEVES/17-19/CENTRO DE CÓMPUTO,,FRANCISCO SASTRE CARMONA
113,113.0,PROGRAMACIÓN ORIENTADA A OBJETOS Y EVENTOS,A,LUNES/17-19/CENTRO DE CÓMPUTO,MIÉRCOLES/17-19/CENTRO DE CÓMPUTO,VIERNES/17-19/CENTRO DE CÓMPUTO,LUIS CARLOS PADIERNA GARCÍA
114,114.0,PROPIEDADES FISICOQUÍMICAS,A-I,LUNES/12-14/F9,JUEVES/10-11/C3,JUEVES/11-14/LAB. DE QUÍMICA,BIRZABITH MENDOZA NOVELO
115,115.0,QUÍMICA ANALÍTICA,A-I,MARTES/8-11/LAB. DE QUÍMICA,JUEVES/8-11/F7,,JOSÉ ANTONIO REYES AGUILERA
116,116.0,QUÍMICA ANALÍTICA,B-II,MIÉRCOLES/15-18/C3,JUEVES/8-11/LAB. DE QUÍMICA,,JOSÉ JORGE DELGADO GARCÍA
117,117.0,QUÍMICA GENERAL,A-III,MARTES/10-11/F5,JUEVES/10-12/F2,LUNES/14-17/LAB. DE QUÍMICA,SUSANA FIGUEROA GERSTENMAIER/ARGELIA ROSILLO DE LA TORRE
118,118.0,QUÍMICA GENERAL,B-III,JUEVES/10-12/F5,VIERNES/10-11/F5,LUNES/14-17/LAB. DE QUÍMICA,IRAIS AMARANTA QUINTERO ORTEGA/ARGELIA ROSILLO DE LA TORRE
