,1,Estados Unidos (USA),1022,794,704,2520
123,116,Gabón (GAB),0,1,0.0,1.0
124,117,Guatemala (GUA),0,1,0.0,1.0
125,118,Islas Vírgenes de los Estados Unidos (ISV),0,1,0.0,1.0
126,119,Montenegro (MNE),0,1,0.0,1.0
127,120,Paraguay (PAR),0,1,0.0,1.0
128,121,Senegal (SEN),0,1,0.0,1.0
129,122,Sudán (SUD),0,1,0.0,1.0
130,123,Tonga (TGA),0,1,0.0,1.0
131,-,Federación de las Indias Occidentales (BWI),0,0,2.0,2.0
132,124,Afganistán (AFG),0,0,2.0,2.0
133,125,Kuwait (KUW),0,0,2.0,2.0
134,126,Macedonia (MKD),0,0,1.0,1.0
135,127,Barbados (BAR),0,0,1.0,1.0
136,128,Bermudas (BER),0,0,1.0,1.0
137,129,Eritrea (ERI),0,0,1.0,1.0
138,130,Irak (IRQ),0,0,1.0,1.0
139,131,Guyana (GUY),0,0,1.0,1.0
140,132,Mauricio (MRI),0,0,1.0,1.0
141,133,Togo (TOG),0,0,1.0,1.0
142,134,Yibuti (DJI),0,0,1.0,1.0
143,Total,4445,4411,4605,13.460999999999999,
